date,open,close,high,low,涨跌幅,涨跌额,volume,成交额,振幅,换手率,ma50,ma200
2026-01-16 13:10:00,5.17,5.17,5.18,5.16,0.0,0.0,34913.0,18034128.0,0.39,0.02,5.2328,5.3553999999999995
2026-01-16 13:15:00,5.16,5.16,5.17,5.15,-0.19,-0.01,15270.0,7881798.0,0.39,0.01,5.231,5.35405
2026-01-16 13:20:00,5.16,5.17,5.17,5.16,0.19,0.01,6886.0,3557967.0,0.19,0.0,5.229400000000001,5.352800000000001
2026-01-16 13:25:00,5.16,5.17,5.18,5.16,0.0,0.0,3166.0,1637152.0,0.39,0.0,5.2276,5.35155
2026-01-16 13:30:00,5.18,5.17,5.18,5.17,0.0,0.0,2646.0,1368502.0,0.19,0.0,5.226,5.3503
2026-01-16 13:35:00,5.17,5.17,5.18,5.17,0.0,0.0,14184.0,7334206.0,0.19,0.01,5.2242,5.349
2026-01-16 13:40:00,5.18,5.14,5.18,5.13,-0.58,-0.03,101120.0,52059127.0,0.97,0.04,5.221800000000001,5.34755
2026-01-16 13:45:00,5.14,5.14,5.15,5.13,0.0,0.0,18580.0,9549655.0,0.39,0.01,5.219600000000001,5.34605
2026-01-16 13:50:00,5.13,5.13,5.15,5.13,-0.19,-0.01,14340.0,7371352.0,0.39,0.01,5.2172,5.344499999999999
2026-01-16 13:55:00,5.14,5.14,5.14,5.13,0.19,0.01,16446.0,8448284.0,0.19,0.01,5.215,5.343
2026-01-16 14:00:00,5.13,5.13,5.15,5.13,-0.19,-0.01,12976.0,6663954.0,0.39,0.01,5.2126,5.34145
2026-01-16 14:05:00,5.13,5.13,5.14,5.13,0.0,0.0,12095.0,6208994.0,0.19,0.01,5.2101999999999995,5.3399
2026-01-16 14:10:00,5.14,5.13,5.14,5.13,0.0,0.0,8630.0,4430567.0,0.19,0.0,5.2078,5.338349999999999
2026-01-16 14:15:00,5.14,5.14,5.14,5.13,0.19,0.01,6495.0,3335675.0,0.19,0.0,5.2056000000000004,5.336849999999999
2026-01-16 14:20:00,5.14,5.13,5.14,5.13,-0.19,-0.01,7115.0,3653993.0,0.19,0.0,5.203200000000001,5.335300000000001
2026-01-16 14:25:00,5.13,5.14,5.14,5.13,0.19,0.01,7000.0,3594849.0,0.19,0.0,5.2012,5.3338
2026-01-16 14:30:00,5.13,5.13,5.14,5.13,-0.19,-0.01,28147.0,14443809.0,0.19,0.01,5.1988,5.33225
2026-01-16 14:35:00,5.14,5.13,5.14,5.13,0.0,0.0,6708.0,3445225.0,0.19,0.0,5.1966,5.330699999999999
2026-01-16 14:40:00,5.13,5.13,5.14,5.13,0.0,0.0,8607.0,4419099.0,0.19,0.0,5.194400000000001,5.329150000000001
2026-01-16 14:45:00,5.13,5.13,5.14,5.13,0.0,0.0,10703.0,5494227.0,0.19,0.0,5.192200000000001,5.32765
2026-01-16 14:50:00,5.13,5.14,5.14,5.13,0.19,0.01,15504.0,7961566.0,0.19,0.01,5.1902,5.3262
2026-01-16 14:55:00,5.13,5.14,5.15,5.13,0.0,0.0,7998.0,4110969.0,0.39,0.0,5.188199999999999,5.324749999999999
2026-01-16 15:00:00,5.15,5.15,5.15,5.14,0.19,0.01,7968.0,4100682.0,0.19,0.0,5.186599999999999,5.323300000000001
2026-01-19 09:35:00,5.15,5.14,5.15,5.12,-0.19,-0.01,33164.0,17046788.0,0.58,0.01,5.1846,5.3218499999999995
2026-01-19 09:40:00,5.14,5.15,5.16,5.14,0.19,0.01,11760.0,6051253.0,0.39,0.01,5.182799999999999,5.320449999999999
2026-01-19 09:45:00,5.15,5.15,5.15,5.13,0.0,0.0,20753.0,10671420.0,0.39,0.01,5.180599999999999,5.319000000000001
2026-01-19 09:50:00,5.15,5.15,5.15,5.14,0.0,0.0,11311.0,5819070.0,0.19,0.0,5.1784,5.3176
2026-01-19 09:55:00,5.14,5.15,5.16,5.14,0.0,0.0,8831.0,4546454.0,0.39,0.0,5.1762,5.31615
2026-01-19 10:00:00,5.16,5.16,5.16,5.15,0.19,0.01,10597.0,5466504.0,0.19,0.0,5.174200000000001,5.3148
2026-01-19 10:05:00,5.16,5.15,5.16,5.14,-0.19,-0.01,23793.0,12249225.0,0.39,0.01,5.1716,5.313350000000001
